"id","name","printing","quantity","rating"
447160,Loxodon Line Breaker,M19,3,1
447162,Make a Stand,M19,2,2.5
447376,Manalith,M19,4,1
447377,Marauder's Axe,M19,4,2
447163,Mentor of the Meek,M19,1,3
447196,Metamorphic Alteration,M19,1,3
447378,Meteor Golem,M19,2,3
447165,Militia Bugler,M19,2,3
447379,Millstone,M19,2,1
447245,Mind Rot,M19,3,2
447197,Mirror Image,M19,2,3
450257,Mist-Cloaked Herald,M19,3,3
447246,Murder,M19,2,4.5
447199,Mystic Archaeologist,M19,1,3
447247,Nightmare's Thirst,M19,2,1.5
447166,Novice Knight,M19,2,1.5
447327,Oakenform,M19,3,1.5
447200,Omenspeaker,M19,3,2.5
447289,Onakke Ogre,M19,3,1.5
447248,Open the Graves,M19,1,3
447203,Patient Rebuilding,M19,1,3.5
447168,Pegasus Courser,M19,3,3.5
447328,Pelakka Wurm,M19,1,4
447250,Plague Mare,M19,2,3
447357,Poison-Tip Archer,M19,2,3.5
447330,Prodigious Growth,M19,1,3.5
447204,Psychic Corrosion,M19,2,1.5
447358,Psychic Symbiont,M19,2,3.5
447331,Rabid Bite,M19,3,3
447251,Ravenous Harpy,M19,2,2.5
447252,Reassembling Skeleton,M19,2,3
447332,Reclamation Sage,M19,2,3
447359,Regal Bloodlord,M19,2,3.5
447334,Rhox Oracle,M19,3,2.5
447380,Rogue's Gloves,M19,2,1.5
447172,Rustwing Falcon,M19,3,2
447205,"Sai, Master Thopterist",M19,1,3
447291,Sarkhan's Unsealing,M19,1,2
447360,Satyr Enchanter,M19,2,2.5
447173,Shield Mare,M19,2,3
447292,Shock,M19,3,3.5
447293,Siegebreaker Giant,M19,2,2
447381,Sigiled Sword of Valeron,M19,1,4
447254,Skeleton Archer,M19,3,3
447255,Skymarch Bloodletter,M19,3,3
447361,Skyrider Patrol,M19,2,3.5
447382,Skyscanner,M19,4,2.5
447210,Sleep,M19,2,3
447295,Sparktongue Dragon,M19,3,3
447296,Spit Flame,M19,1,4
447174,Star-Crowned Stag,M19,3,3.5
447393,Stone Quarry,M19,2,2
447394,Submerged Boneyard,M19,2,2
447297,Sure Strike,M19,3,2
447213,Surge Mare,M19,2,2.5
447383,Suspicious Bookcase,M19,2,1
447214,Switcheroo,M19,2,2
447176,Take Vengeance,M19,3,3.5
447338,Talons of Wildwood,M19,3,1.5
447298,Tectonic Rift,M19,2,1
447339,Thorn Lieutenant,M19,1,3.5
447299,Thud,M19,2,1.5
447300,Tormenting Voice,M19,3,1
447396,Tranquil Expanse,M19,2,2
447384,Transmogrifying Wand,M19,1,3
447301,Trumpet Blast,M19,3,1
447259,Two-Headed Zombie,M19,3,1.5
447218,Uncomfortable Chill,M19,3,1.5
447178,Valiant Knight,M19,1,3.5
447260,Vampire Neonate,M19,3,2
447261,Vampire Sovereign,M19,2,3.5
447343,Vine Mare,M19,2,3.5
447303,Volcanic Dragon,M19,2,3.5
447304,Volley Veteran,M19,2,2.5
447219,Wall of Mist,M19,3,1
447220,Windreader Sphinx,M19,1,3.5
447397,Woodland Stream,M19,2,2
438594,Restoration Angel,MM3,1,4
407620,Goblin Dark-Dwellers,OGW,1,3.5
407667,Reflector Mage,OGW,2,3.5
423492,Mitotic Slime,PCA,1,3.5
409783,Thalia's Lieutenant,SOI,1,3.5
447340,Thornhide Wolves,SOI,3,2
456641,Archaeomancer,UMA,3,3
456759,Eternal Witness,UMA,2,4
456760,Fauna Shaman,UMA,1,3.5
456706,Reanimate,UMA,1,3.5
456778,Snake Umbra,UMA,2,2.5
456751,Young Pyromancer,UMA,2,3
