"id","name","rating"
75770,"Depala, Pilot Exemplar",3
75771,"Dovin Baan",3.5
75772,"Empyreal Voyager",3
75773,"Engineered Might",1
75774,"Hazardous Conditions",1.5
75775,"Hidden Stockpile",3
75776,"Kambal, Consul of Allocation",2.5
75777,"Maverick Thopterist",3.5
75778,"Oath of Ajani",2
75779,"Outland Boar",3
75780,"Rashmi, Eternities Crafter",3.5
75781,"Renegade Rallier",2.5
75782,"Renegade Wheelsmith",3
75783,"Restoration Gearsmith",3
75784,"Rogue Refiner",3.5
75785,"Saheeli Rai",3.5
75786,"Spire Patrol",3
75787,"Tezzeret the Schemer",4
75788,"Tezzeret's Touch",3
75789,"Unlicensed Disintegration",3.5
75790,"Veteran Motorist",3
75791,"Voltaic Brawler",3
75792,"Weldfast Engineer",2.5
75793,"Whirler Virtuoso",3.5
75794,"Winding Constrictor",3.5
75795,"Aetherflux Reservoir",1
75796,"Aethersphere Harvester",4.5
75797,"Aetherworks Marvel",2.5
75798,"Animation Module",3
75799,"Barricade Breaker",1.5
75800,"Bastion Mastodon",2
75801,"Bomat Bazaar Barge",3
75802,"Bomat Courier",2.5
75803,"Chief of the Foundry",3
75804,"Cogworker's Puzzleknot",2
75806,"Consulate Skygate",0.5
75807,"Consulate Turret",0
75808,"Cultivator's Caravan",3.5
75809,"Daredevil Dragster",3
75810,"Decoction Module",2
75811,"Demolition Stomper",0.5
75812,"Dukhara Peafowl",1.5
75813,"Dynavolt Tower",3
75814,"Eager Construct",1.5
75815,"Electrostatic Pummeler",2.5
75816,"Fabrication Module",3
75817,"Filigree Familiar",3.5
75818,"Fireforger's Puzzleknot",1
75819,"Foundry Inspector",3
75820,"Heart of Kiran",4
75821,"Hope of Ghirapur",1.5
75822,"Implement of Examination",1.5
75823,"Implement of Malice",1
75824,"Inventor's Goggles",1
75825,"Irontread Crusher",1
75826,"Key to the City",3
75827,"Lifecrafter's Bestiary",3.5
75828,"Merchant's Dockhand",2
75829,"Metallic Mimic",3.5
75830,"Mobile Garrison",1.5
75831,"Narnam Cobra",2
75832,"Ornithopter",0
75833,"Ovalchase Dragster",2
75834,"Pacification Array",3
75835,"Panharmonicon",3
75836,"Paradox Engine",1
75837,"Peacewalker Colossus",3
75838,"Pendulum of Patterns",0.5
75839,"Planar Bridge",0.5
75840,"Prakhata Pillar-Bug",1.5
75842,"Renegade Map",2.5
75843,"Reservoir Walker",0.5
75844,"Scrap Trawler",3
75845,"Scrapheap Scrounger",3.5
75847,"Servo Schematic",1.5
75848,"Sky Skiff",3
75849,"Skysovereign, Consul Flagship",4.5
75850,"Universal Solvent",1
75851,"Untethered Express",3.5
75853,"Weldfast Monitor",1.5
75854,"Whirlermaker",1.5
75855,"Woodweaver's Puzzleknot",1
75856,"Workshop Assistant",1
75857,"Aether Hub",2
75858,"Blooming Marsh",1.5
75859,"Botanical Sanctum",1.5
75860,"Concealed Courtyard",1.5
75861,"Forest",0
75864,"Inspiring Vantage",1.5
75865,"Inventors' Fair",1
75868,"Island",0
75870,"Mountain",0
75872,"Plains",0
75875,"Spire of Industry",1
75876,"Spirebluff Canal",1
75879,"Swamp",0
75907,"Prophetic Prism",2.5
75908,"Self-Assembler",2
76380,"Ballista Charger",2
76381,"Metalwork Colossus",3
