"id","name","rating"
950199,"Maestros Charm",3
950200,"Maestros Diabolist",3.5
950201,"Masked Bandits",2.5
950202,"Meeting of the Five",0
950203,"Metropolis Angel",3.5
950204,"Mr. Orfeo, the Boulder",3
950205,"Nimble Larcenist",3
950206,"Ob Nixilis, the Adversary",4.5
950207,"Obscura Ascendancy",1.5
950208,"Obscura Charm",3
950209,"Obscura Interceptor",3.5
950210,"Ognis, the Dragon's Lash",3.5
950211,"Park Heights Pegasus",3.5
950212,"Queza, Augur of Agonies",3.5
950213,"Raffine, Scheming Seer",4
950214,"Rakish Revelers",2.5
950215,"Rigo, Streetwise Mentor",3.5
950216,"Riveteers Ascendancy",2.5
950217,"Riveteers Charm",3
950218,"Rocco, Cabaretti Caterer",3.5
950219,"Scheming Fence",3
950220,"Security Rhox",2
950221,"Shattered Seraph",2.5
950222,"Snooping Newsie",2
950223,"Soul of Emancipation",3.5
950224,"Spara's Adjudicators",3
950225,"Stimulus Package",2
950226,"Syndicate Infiltrator",3
950227,"Tainted Indulgence",2.5
950228,"Toluz, Clever Conductor",4
950229,"Unleash the Inferno",3.5
950230,"Void Rend",3.5
950231,"Ziatora, the Incinerator",4
950232,"Ziatora's Envoy",4
950233,"Arc Spitter",0.5
950234,"Brass Knuckles",0.5
950235,"Cement Shoes",1
950236,"Chrome Cat",1
950237,"Getaway Car",3
950238,"Gilded Pinions",1
950239,"Halo Scarab",1
950240,"Luxior, Giada's Gift",1.5
950241,"Ominous Parcel",1.5
950242,"Paragon of Modernity",1.5
950243,"Quick-Draw Dagger",1.5
950244,"Scuttling Butler",1
950245,"Suspicious Bookcase",0.5
950246,"Unlicensed Hearse",3
950247,"Botanical Plaza",2.5
950248,"Brokers Hideout",1.5
950249,"Cabaretti Courtyard",2
950250,"Jetmir's Garden",3
950251,"Maestros Theater",2
950252,"Obscura Storefront",2
950253,"Racers' Ring",1.5
950254,"Raffine's Tower",3
950255,"Riveteers Overlook",2
950256,"Skybridge Towers",2
950257,"Spara's Headquarters",3
950258,"Tramway Station",2
950259,"Waterfront District",2.5
950260,"Xander's Lounge",3
950261,"Ziatora's Proving Ground",3
950262,"Plains",0
950264,"Island",0
950266,"Swamp",0
950268,"Mountain",0
950270,"Forest",0
