"id","name","rating"
417662,"Make Obsolete",1.5
417663,"Marionette Master",3.5
417664,"Maulfist Squad",2
417665,"Midnight Oil",2
417666,"Mind Rot",1
417667,"Morbid Curiosity",0.5
417668,"Night Market Lookout",1.5
417669,"Noxious Gearhulk",4.5
417670,"Ovalchase Daredevil",3
417671,"Prakhata Club Security",1
417672,"Rush of Vitality",1.5
417673,"Subtle Strike",2
417674,"Syndicate Trafficker",3.5
417675,"Thriving Rats",2
417676,"Tidy Conclusion",3
417677,"Underhanded Designs",3
417678,"Weaponcraft Enthusiast",3
417679,"Aethertorch Renegade",3
417680,"Brazen Scourge",3
417681,"Built to Smash",1.5
417682,"Cathartic Reunion",1
417683,"Chandra, Torch of Defiance",4.5
417684,"Chandra's Pyrohelix",2.5
417685,"Combustible Gearhulk",4.5
417686,"Demolish",1
417687,"Fateful Showdown",2
417688,"Furious Reprisal",3
417689,"Giant Spectacle",1
417690,"Harnessed Lightning",3.5
417691,"Hijack",1
417692,"Incendiary Sabotage",1.5
417693,"Inventor's Apprentice",2.5
417694,"Lathnu Hellion",3.5
417695,"Madcap Experiment",0
417696,"Maulfist Doorbuster",3
417697,"Pia Nalaar",3.5
417698,"Quicksmith Genius",2.5
417699,"Reckless Fireweaver",1.5
417700,"Renegade Tactics",1
417701,"Ruinous Gremlin",1
417702,"Salivating Gremlins",2
417703,"Skyship Stalker",3.5
417704,"Spark of Creativity",1
417705,"Speedway Fanatic",3
417706,"Spireside Infiltrator",2
417707,"Spontaneous Artist",2
417708,"Start Your Engines",1
417709,"Territorial Gorger",3
417710,"Terror of the Fairgrounds",1
417711,"Thriving Grubs",2.5
417712,"Wayward Giant",1.5
417713,"Welding Sparks",3
417714,"Appetite for the Unnatural",2
417715,"Arborback Stomper",3.5
417716,"Architect of the Untamed",3.5
417717,"Armorcraft Judge",3
417718,"Attune with Aether",2.5
417719,"Blossoming Defense",3
417720,"Bristling Hydra",4
417721,"Commencement of Festivities",1
417722,"Cowl Prowler",1.5
417723,"Creeping Mold",1
417724,"Cultivator of Blades",3.5
417725,"Dubious Challenge",0
417726,"Durable Handicraft",3
417727,"Elegant Edgecrafters",3
417728,"Fairgrounds Trumpeter",3
417729,"Ghirapur Guide",2
417730,"Highspire Artisan",2
417731,"Hunt the Weak",3
417732,"Kujar Seedsculptor",2.5
417733,"Larger Than Life",1
417734,"Longtusk Cub",3.5
417735,"Nature's Way",3.5
417736,"Nissa, Vital Force",4.5
417737,"Ornamental Courage",1.5
417738,"Oviya Pashiri, Sage Lifecrafter",3.5
417739,"Peema Outrider",3
417740,"Riparian Tiger",3
417741,"Sage of Shaila's Claim",2
417742,"Servant of the Conduit",3.5
417743,"Take Down",1.5
417744,"Thriving Rhino",3
417745,"Verdurous Gearhulk",4.5
417746,"Wild Wanderer",2
417747,"Wildest Dreams",3
417748,"Wily Bandar",1
417749,"Cloudblazer",3.5
417750,"Contraband Kingpin",2
417751,"Depala, Pilot Exemplar",3.5
417752,"Dovin Baan",4
417753,"Empyreal Voyager",3
417754,"Engineered Might",1.5
417755,"Hazardous Conditions",1
417756,"Kambal, Consul of Allocation",3.5
417757,"Rashmi, Eternities Crafter",4
417758,"Restoration Gearsmith",3
417759,"Saheeli Rai",4
417760,"Unlicensed Disintegration",3.5
417761,"Veteran Motorist",3
417762,"Voltaic Brawler",3
417763,"Whirler Virtuoso",3
417764,"Accomplished Automaton",0
417765,"Aetherflux Reservoir",1.5
417766,"Aetherworks Marvel",4
417767,"Animation Module",3.5
417768,"Aradara Express",1
417769,"Ballista Charger",3
417770,"Bastion Mastodon",1.5
417771,"Bomat Bazaar Barge",3
417772,"Bomat Courier",2.5
417773,"Chief of the Foundry",3.5
417774,"Cogworker's Puzzleknot",1
417775,"Consulate Skygate",1
417776,"Cultivator's Caravan",4
417777,"Deadlock Trap",3
417778,"Decoction Module",2.5
417779,"Demolition Stomper",1.5
417780,"Dukhara Peafowl",1.5
417781,"Dynavolt Tower",3
417782,"Eager Construct",1.5
417783,"Electrostatic Pummeler",3
417784,"Fabrication Module",3
417785,"Filigree Familiar",3
417786,"Fireforger's Puzzleknot",0.5
417787,"Fleetwheel Cruiser",4
417788,"Foundry Inspector",3
417789,"Ghirapur Orrery",1
417790,"Glassblower's Puzzleknot",0.5
417791,"Inventor's Goggles",1.5
417792,"Iron League Steed",2.5
417793,"Key to the City",3.5
417794,"Metalspinner's Puzzleknot",1
417795,"Metalwork Colossus",3.5
417796,"Multiform Wonder",4
417797,"Narnam Cobra",1.5
417798,"Ovalchase Dragster",3
417799,"Panharmonicon",3.5
417800,"Perpetual Timepiece",0
417801,"Prakhata Pillar-Bug",1.5
417802,"Prophetic Prism",2
417803,"Renegade Freighter",3
417804,"Scrapheap Scrounger",3.5
417805,"Self-Assembler",1.5
417806,"Sky Skiff",2.5
417807,"Skysovereign, Consul Flagship",5
417808,"Smuggler's Copter",4
417809,"Snare Thopter",3.5
417810,"Torch Gauntlet",0.5
417811,"Weldfast Monitor",1.5
417812,"Whirlermaker",2
417813,"Woodweaver's Puzzleknot",0.5
417814,"Workshop Assistant",0.5
417815,"Aether Hub",3
417816,"Blooming Marsh",2.5
417817,"Botanical Sanctum",2.5
417818,"Concealed Courtyard",2.5
417819,"Inspiring Vantage",2.5
417820,"Inventors' Fair",2.5
417821,"Sequestered Stash",0
417822,"Spirebluff Canal",3
417823,"Plains",0
417826,"Island",0
417829,"Swamp",0
417832,"Mountain",0
417835,"Forest",0
